source,edge_id,osm_way_id,direction,node_count,first_node_id,last_node_id,highway,access_status,access_reason,structure_status,oneway,oneway_bicycle,junction,bicycle,access,vehicle,surface,smoothness,tracktype,bridge,tunnel,covered,layer,selected_for_profile,decision,reason
live,osm-way-23258945-forward,23258945,forward,5,251695513,251695516,track,review,highway=track carries no bicycle permission,tunnel,,,,,,,,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-23258945-reverse,23258945,reverse,5,251695516,251695513,track,review,highway=track carries no bicycle permission,tunnel,,,,,,,,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-23370662-forward,23370662,forward,2,93848453,7093859570,footway,prohibited,bicycle=no,tunnel,,,,no,no,,,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-23370662-reverse,23370662,reverse,2,7093859570,93848453,footway,prohibited,bicycle=no,tunnel,,,,no,no,,,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-24385206-forward,24385206,forward,5,61759809,27294173,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-24385206-reverse,24385206,reverse,5,27294173,61759809,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-30483374-forward,30483374,forward,2,336367995,336367992,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-30483374-reverse,30483374,reverse,2,336367992,336367995,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-36939189-forward,36939189,forward,2,61785640,61785642,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-36939189-reverse,36939189,reverse,2,61785642,61785640,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-49210502-forward,49210502,forward,7,624493727,251670339,primary,admissible,highway=primary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-49210502-reverse,49210502,reverse,7,251670339,624493727,primary,admissible,highway=primary cyclable by default,bridge,,,,,,,asphalt,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-54396765-forward,54396765,forward,22,27292669,2163173504,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-54396765-reverse,54396765,reverse,22,2163173504,27292669,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-61497927-forward,61497927,forward,2,767463998,767464009,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-61497927-reverse,61497927,reverse,2,767464009,767463998,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-61497929-forward,61497929,forward,2,767463994,380815,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-61497929-reverse,61497929,reverse,2,380815,767463994,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-71809489-forward,71809489,forward,4,327412682,853408691,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-71809489-reverse,71809489,reverse,4,853408691,327412682,unclassified,admissible,highway=unclassified cyclable by default,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-93975010-forward,93975010,forward,9,1342094396,251671097,secondary,admissible,highway=secondary cyclable by default,tunnel,,,,,,,,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-93975010-reverse,93975010,reverse,9,251671097,1342094396,secondary,admissible,highway=secondary cyclable by default,tunnel,,,,,,,,,,,yes,,-1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-93995461-forward,93995461,forward,6,251695522,1092708486,track,review,highway=track carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-93995461-reverse,93995461,reverse,6,1092708486,251695522,track,review,highway=track carries no bicycle permission,bridge,,,,,,,,,,yes,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-96286816-forward,96286816,forward,8,1116079915,1116080149,unclassified,admissible,highway=unclassified cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-96286816-reverse,96286816,reverse,8,1116080149,1116079915,unclassified,admissible,highway=unclassified cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
live,osm-way-96291294-forward,96291294,forward,8,61785717,61785723,secondary,admissible,highway=secondary cyclable by default,bridge,,,,,,,asphalt,excellent,,viaduct,,,1,False,review_required,"terrain model cannot describe a deck, bore or stacked level; roadway elevation is unknown"
